"Name","Slug","Path"
"Summon Reaper of Revenants","summon-reaper-of-revenants","gem/skill/summon-reaper-of-revenants.png"
"Summon Flame Golem of the Meteor","summon-flame-golem-of-the-meteor","gem/skill/summon-flame-golem-of-the-meteor.png"
"Summon Carrion Golem","summon-carrion-golem","gem/skill/summon-carrion-golem.png"
"Frenzy","frenzy","gem/skill/frenzy.png"
"Power Siphon","power-siphon","gem/skill/power-siphon.png"
"Hatred","hatred","gem/skill/hatred.png"
"Stormbind","stormbind","gem/skill/stormbind.png"
"Frostblink of Wintry Blast","frostblink-of-wintry-blast","gem/skill/frostblink-of-wintry-blast.png"
"Kinetic Blast","kinetic-blast","gem/skill/kinetic-blast.png"
"Ice Trap of Hollowness","ice-trap-of-hollowness","gem/skill/ice-trap-of-hollowness.png"
"Split Arrow","split-arrow","gem/skill/split-arrow.png"
"Conversion Trap","conversion-trap","gem/skill/conversion-trap.png"
"Hydrosphere","hydrosphere","gem/skill/hydrosphere.png"
"Armageddon Brand","armageddon-brand","gem/skill/armageddon-brand.png"
"Flame Surge of Combusting","flame-surge-of-combusting","gem/skill/flame-surge-of-combusting.png"
"Incinerate of Venting","incinerate-of-venting","gem/skill/incinerate-of-venting.png"
"Sweep","sweep","gem/skill/sweep.png"
"Summon Chaos Golem","summon-chaos-golem","gem/skill/summon-chaos-golem.png"
"Eye of Winter","eye-of-winter","gem/skill/eye-of-winter.png"
"Galvanic Arrow of Energy","galvanic-arrow-of-energy","gem/skill/galvanic-arrow-of-energy.png"
"Blade Vortex","blade-vortex","gem/skill/blade-vortex.png"
"Summon Lightning Golem of Hordes","summon-lightning-golem-of-hordes","gem/skill/summon-lightning-golem-of-hordes.png"
"Arcanist Brand","arcanist-brand","gem/skill/arcanist-brand.png"
"Lightning Strike of Arcing","lightning-strike-of-arcing","gem/skill/lightning-strike-of-arcing.png"
"Lightning Conduit","lightning-conduit","gem/skill/lightning-conduit.png"
"Rolling Magma","rolling-magma","gem/skill/rolling-magma.png"
"Flame Wall","flame-wall","gem/skill/flame-wall.png"
"Tectonic Slam","tectonic-slam","gem/skill/tectonic-slam.png"
"Rage Vortex","rage-vortex","gem/skill/rage-vortex.png"
"Lacerate","lacerate","gem/skill/lacerate.png"
"Lightning Trap","lightning-trap","gem/skill/lightning-trap.png"
"Summon Carrion Golem of Hordes","summon-carrion-golem-of-hordes","gem/skill/summon-carrion-golem-of-hordes.png"
"Double Strike of Momentum","double-strike-of-momentum","gem/skill/double-strike-of-momentum.png"
"Cremation of the Volcano","cremation-of-the-volcano","gem/skill/cremation-of-the-volcano.png"
"Blade Flurry of Incision","blade-flurry-of-incision","gem/skill/blade-flurry-of-incision.png"
"Boneshatter","boneshatter","gem/skill/boneshatter.png"
"Assassin's Mark","assassins-mark","gem/skill/assassins-mark.png"
"Summon Flame Golem","summon-flame-golem","gem/skill/summon-flame-golem.png"
"Stormblast Mine","stormblast-mine","gem/skill/stormblast-mine.png"
"Summon Reaper","summon-reaper","gem/skill/summon-reaper.png"
